Date,Time,Temperature,Humidity,Pressure,Light
2021-06-27,09:56:50.420210,29.609203338623047,47.224571228027344,0,744.592
2021-06-27,09:56:53.762347,29.62809181213379,46.971981048583984,1016.677978515625,743.254
2021-06-27,09:56:56.762247,29.571430206298828,47.512821197509766,1016.679443359375,745.151
2021-06-27,09:56:59.722238,29.64698028564453,47.48607635498047,1016.687744140625,744.717
2021-06-27,09:57:02.722257,29.64698028564453,47.56928253173828,1016.668701171875,741.246
2021-06-27,09:57:05.682212,29.609203338623047,46.85311508178711,1016.696533203125,745.85
2021-06-27,09:57:08.712279,29.590316772460938,48.315162658691406,1016.689208984375,739.727
2021-06-27,09:57:11.702236,29.68475341796875,47.480133056640625,1016.661376953125,737.165
2021-06-27,09:57:14.662302,29.62809181213379,47.50093460083008,1016.65966796875,735.16
2021-06-27,09:57:17.662245,29.590316772460938,48.05365753173828,1016.55078125,737.471
2021-06-27,09:57:20.622194,29.571430206298828,47.24834442138672,1016.598876953125,734.984
2021-06-27,09:57:23.612236,29.533655166625977,48.28544616699219,1016.55908203125,738.413
2021-06-27,09:57:26.572232,29.590316772460938,47.735694885253906,1016.522705078125,737.875
2021-06-27,09:57:29.572227,29.68475341796875,48.52614974975586,1016.59033203125,741.588
2021-06-27,09:57:32.572261,29.55254364013672,48.19332504272461,1016.708740234375,737.887
2021-06-27,09:57:35.532356,29.62809181213379,47.77135467529297,1016.6904296875,739.977
2021-06-27,09:57:38.492293,29.609203338623047,46.9066047668457,1016.70458984375,737.554
2021-06-27,09:57:41.482237,29.760303497314453,47.84861755371094,1016.705322265625,741.05
2021-06-27,09:57:44.442322,29.798078536987305,47.934791564941406,1016.707275390625,736.501
2021-06-27,09:57:47.442238,29.760303497314453,48.02394104003906,1016.672607421875,739.326
2021-06-27,09:57:50.402308,29.798078536987305,47.812957763671875,1016.697021484375,735.984
2021-06-27,09:57:53.392292,29.66586685180664,47.839698791503906,1016.69677734375,740.314
2021-06-27,09:57:56.352261,29.7225284576416,48.077430725097656,1016.720703125,736.309
2021-06-27,09:57:59.352209,29.741416931152344,47.6673469543457,1016.58056640625,736.872
2021-06-27,09:58:02.312305,29.7225284576416,48.37162399291992,1016.53125,737.264
2021-06-27,09:58:05.302265,29.835853576660156,47.652488708496094,1016.529541015625,739.474
2021-06-27,09:58:08.262259,29.798078536987305,48.457801818847656,1016.5224609375,734.825
2021-06-27,09:58:11.262255,29.892515182495117,47.44150161743164,1016.546630859375,736.345
2021-06-27,09:58:14.222242,29.68475341796875,47.99125671386719,1016.561279296875,742.382
2021-06-27,09:58:17.222200,29.798078536987305,47.0967903137207,1016.541259765625,742.435
2021-06-27,09:58:20.182230,29.816965103149414,47.607913970947266,1016.55517578125,744.017
2021-06-27,09:58:23.182266,29.7225284576416,48.32407760620117,1016.5244140625,746.587
2021-06-27,09:58:26.182198,29.798078536987305,47.76837921142578,1016.580322265625,743.464
2021-06-27,09:58:29.142274,29.835853576660156,47.227542877197266,1016.5615234375,742.831
2021-06-27,09:58:32.103191,29.835853576660156,46.96900939941406,1016.52734375,743.708
2021-06-27,09:58:35.102219,29.66586685180664,47.94371032714844,1016.53857421875,744.289
2021-06-27,09:58:38.062282,29.798078536987305,47.63465881347656,1016.50927734375,742.683
2021-06-27,09:58:41.062261,29.892515182495117,48.36568069458008,1016.506591796875,746.277
2021-06-27,09:58:44.022330,29.760303497314453,47.75352478027344,1016.51611328125,742.665
2021-06-27,09:58:47.022252,29.779190063476562,47.385040283203125,1016.498046875,736.527
2021-06-27,09:58:49.982354,29.91140365600586,48.00611114501953,1016.495361328125,739.306
2021-06-27,09:58:52.972252,29.816965103149414,47.58116912841797,1016.529541015625,738.461
2021-06-27,09:58:55.932714,29.816965103149414,47.652488708496094,1016.52685546875,736.176
2021-06-27,09:58:58.922312,29.835853576660156,47.985313415527344,1016.53759765625,737.223
2021-06-27,09:59:01.882236,29.98695182800293,46.69858932495117,1016.540771484375,738.421
2021-06-27,09:59:04.882216,29.760303497314453,47.50390625,1016.49462890625,736.615
2021-06-27,09:59:07.842219,29.835853576660156,47.61385726928711,1016.49609375,740.214
2021-06-27,09:59:10.832205,29.854740142822266,46.552978515625,1016.550048828125,737.352
2021-06-27,09:59:13.792258,29.798078536987305,47.20079803466797,1016.550537109375,734.077
2021-06-27,09:59:16.792259,29.873626708984375,47.75946807861328,1016.471923828125,736.595
2021-06-27,09:59:19.792247,29.854740142822266,48.00611114501953,1016.502685546875,735.452
2021-06-27,09:59:22.782211,29.835853576660156,47.58116912841797,1016.5224609375,736.282
2021-06-27,09:59:25.962204,29.91140365600586,47.47418975830078,1016.4990234375,734.734
2021-06-27,09:59:28.922260,29.93029022216797,47.18891143798828,1016.5205078125,736.31
2021-06-27,09:59:31.882252,29.873626708984375,47.545509338378906,1016.48388671875,737.78
2021-06-27,09:59:34.842263,29.854740142822266,47.18296813964844,1016.470458984375,734.975
2021-06-27,09:59:37.802214,29.798078536987305,47.417728424072266,1016.49072265625,736.721
2021-06-27,09:59:40.763135,29.835853576660156,46.891746520996094,1016.509521484375,739.721
2021-06-27,09:59:43.752261,29.779190063476562,47.15919494628906,1016.502197265625,733.902
2021-06-27,09:59:46.712284,29.873626708984375,47.275089263916016,1016.512451171875,740.956
2021-06-27,09:59:49.702198,29.835853576660156,47.209712982177734,1016.531982421875,735.628
2021-06-27,09:59:52.662259,29.835853576660156,47.575225830078125,1016.541259765625,735.894
2021-06-27,09:59:55.622248,29.835853576660156,47.0967903137207,1016.503173828125,735.047
